epoch,batch,loss,timestamp
28,100,1.1517,1784476491.662289
28,200,1.1757,1784476557.2913904
28,300,1.1646,1784476693.2683852
28,400,1.1449,1784476758.2578244
28,500,1.1598,1784476822.470383
28,600,1.3345,1784476888.324194
28,700,1.1697,1784476952.8603814
28,800,1.1451,1784477018.8472762
28,900,1.1638,1784477083.906848
28,1000,1.1274,1784477147.2552433
28,1100,1.2007,1784477211.4214432
28,1200,1.1637,1784477275.7332861
28,EPOCH_SUMMARY,1.1937,1784477309.6118212
29,100,1.1384,1784477388.423359
29,200,1.1696,1784477453.3768585
29,300,1.1731,1784477518.592711
29,400,1.1356,1784477583.4526613
29,500,1.1540,1784477648.9846752
29,600,1.1798,1784477714.9710963
29,700,1.1583,1784477780.0272388
29,800,1.1724,1784477845.1532552
29,900,1.1811,1784477908.9581409
29,1000,1.1826,1784477974.2546532
29,1100,1.2463,1784478038.5499551
29,1200,1.1789,1784478102.5402067
29,EPOCH_SUMMARY,1.1874,1784478135.897138
30,100,1.1544,1784478213.516517
30,200,1.1898,1784478278.6775835
30,300,1.1661,1784478343.8599143
30,400,1.2096,1784478408.3081286
30,500,1.1879,1784478472.545538
30,600,1.2178,1784478537.2978916
30,700,1.1678,1784478602.0413172
30,800,1.1680,1784478667.2115335
30,900,1.2528,1784478731.8703773
30,1000,1.1216,1784478796.044377
30,1100,1.2102,1784478861.3994539
30,1200,1.2255,1784478925.7457006
30,EPOCH_SUMMARY,1.1844,1784478958.8856268
31,100,1.1659,1784479037.1900663
31,200,1.1972,1784479100.9161274
31,300,1.1321,1784479165.1982691
31,400,1.2039,1784479229.6648717
31,500,1.2456,1784479293.7066507
31,600,1.2380,1784479359.4425972
31,700,1.2623,1784479424.4591138
31,800,1.3073,1784479490.511505
31,900,1.2384,1784479554.7683494
31,1000,1.2219,1784479619.2064242
31,1100,1.2139,1784479684.1086507
31,1200,1.1944,1784479748.535906
31,EPOCH_SUMMARY,1.1819,1784479782.4465349
32,100,1.2426,1784479861.2320259
32,200,1.1536,1784479926.6504114
32,300,1.2123,1784479991.710859
32,400,1.1499,1784480056.5095897
32,500,1.1756,1784480120.213124
32,600,1.2182,1784480186.1302073
32,700,1.1658,1784480251.146191
32,800,1.3903,1784480315.6426735
32,900,1.1844,1784480379.4887662
32,1000,1.1663,1784480443.556444
32,1100,1.2050,1784480507.7611132
32,1200,1.1874,1784480570.394715
32,EPOCH_SUMMARY,1.1795,1784480604.0890672
33,100,1.1812,1784480681.9094799
33,200,1.1641,1784480747.161467
33,300,1.2150,1784480811.454696
33,400,1.1558,1784480876.6652377
33,500,1.2138,1784480941.0571325
33,600,1.1541,1784481006.44191
33,700,1.1789,1784481071.8818738
33,800,1.1254,1784481137.409362
33,900,1.2114,1784481202.7447171
33,1000,1.1742,1784481268.0739646
33,1100,1.2019,1784481333.813665
33,1200,1.1388,1784481398.5250494
33,EPOCH_SUMMARY,1.1777,1784481432.303831
34,100,1.1432,1784481511.1139238
34,200,1.1711,1784481575.542929
34,300,1.1606,1784481640.2373247
34,400,1.1965,1784481705.1627707
34,500,1.1346,1784481770.197511
34,600,1.1466,1784481836.171487
34,700,1.2304,1784481901.4885788
34,800,1.2380,1784481965.406258
34,900,1.2336,1784482030.5819077
34,1000,1.1842,1784482093.084752
34,1100,1.1546,1784482157.8000157
34,1200,1.1828,1784482221.9941404
34,EPOCH_SUMMARY,1.1765,1784482255.0585332
35,100,1.1498,1784482333.4285622
35,200,1.1696,1784482398.8495522
35,300,1.1320,1784482464.2954593
35,400,1.1610,1784482529.9537446
35,500,1.2549,1784482594.99432
35,600,1.3344,1784482661.3233314
35,700,1.1960,1784482726.008758
35,800,1.1900,1784482789.9260418
35,900,1.1639,1784482853.140811
35,1000,1.1675,1784482918.21052
35,1100,1.1375,1784482983.9969344
35,1200,1.1315,1784483048.9772978
35,EPOCH_SUMMARY,1.1756,1784483083.2934785
36,100,1.1514,1784483161.485409
36,200,1.2030,1784483227.965538
36,300,1.1323,1784483294.569021
36,400,1.1553,1784483359.7367191
36,500,1.1313,1784483424.8444006
36,600,1.1534,1784483491.063857
36,700,1.1420,1784483555.5904467
36,800,1.1506,1784483620.5970395
36,900,1.1834,1784483683.7620769
36,1000,1.1492,1784483746.2654564
36,1100,1.1639,1784483811.3471134
36,1200,1.1615,1784483876.7223008
36,EPOCH_SUMMARY,1.1745,1784483909.8703048
37,100,1.1682,1784483987.4071493
37,200,1.1433,1784484051.8786898
37,300,1.2305,1784484116.6873457
37,400,1.1537,1784484181.2211013
37,500,1.1624,1784484245.4201655
37,600,1.1619,1784484309.9807289
37,700,1.1290,1784484373.6883566
37,800,1.1709,1784484439.7951336
37,900,1.1687,1784484505.2933416
37,1000,1.1719,1784484569.780103
37,1100,1.1474,1784484635.2177153
37,1200,1.2858,1784484698.2121835
37,EPOCH_SUMMARY,1.1739,1784484732.2005236
38,100,1.1550,1784484811.717781
38,200,1.1494,1784484875.7891483
38,300,1.1590,1784484940.8612957
38,400,1.1937,1784485005.8259115
38,500,1.1944,1784485070.7244122
38,600,1.1406,1784485136.5262592
38,700,1.1311,1784485200.0973635
38,800,1.2768,1784485265.4513035
38,900,1.2086,1784485328.8876276
38,1000,1.1401,1784485393.3428354
38,1100,1.1526,1784485458.834278
38,1200,1.2360,1784485522.8568916
38,EPOCH_SUMMARY,1.1735,1784485555.7731621
39,100,1.2035,1784485634.7333367
39,200,1.1791,1784485699.8377004
39,300,1.1256,1784485764.1119509
39,400,1.1240,1784485826.9107976
39,500,1.1544,1784485891.7387524
39,600,1.2011,1784485954.949576
39,700,1.1451,1784486020.4617288
39,800,1.1165,1784486086.1126294
39,900,1.2177,1784486150.9402828
39,1000,1.1334,1784486216.1250885
39,1100,1.1778,1784486281.4020092
39,1200,1.1383,1784486344.4406664
39,EPOCH_SUMMARY,1.1725,1784486376.7317908
40,100,1.1819,1784486454.5756607
40,200,1.1196,1784486519.3285992
40,300,1.1461,1784486584.8010395
40,400,1.1341,1784486649.910586
40,500,1.1608,1784486714.9537587
40,600,1.1686,1784486780.748816
